"INDEX","PRICE"
1,355420.38722148
2,167126.122293474
3,284299.912040461
4,406338.824354573
5,340461.416688715
6,490232.420317603
7,432722.408956169
8,477197.639467349
9,388908.915693766
10,244621.295392718
11,437952.354979329
12,554715.683803304
13,412025.918271108
14,432158.644478849
15,419854.965532634
16,424541.948311828
17,470010.812063438
18,541726.009340656
19,620161.964355936
20,571723.613645202
21,702849.364014987
22,475584.094528681
23,440434.027638705
24,543139.923073819
25,573838.929794617
26,540853.282238839
27,748167.846470268
28,729431.756334583
29,577799.375313835
30,606518.057544306
31,531584.29755045
32,524503.736610952
33,585711.483505005
34,533388.243894621
35,729664.654790447
36,646095.921302215
37,920457.886921381
38,609668.944363396
39,782729.204454159
40,528100.09900247
41,156969.282206185
42,148190.168737229
43,156480.433151889
44,164630.582525074
45,391738.672891569
46,307393.369640223
47,403301.616745298
48,361887.273593871
49,371358.534486979
50,426005.893365789
51,372233.110938983
52,391516.118877086
53,333022.215238624
54,377723.746473676
55,471387.221775453
56,475798.000265188
57,406401.689801263
58,442424.263933403
59,472518.055788244
60,621811.510799185
61,488755.37593478
62,632002.850405033
63,651577.073673804
64,497554.067241852
65,571840.773781564
66,521613.044183231
67,690607.349245042
68,502337.969699462
69,466099.375632292
70,309259.907312035
71,541514.618719373
72,564149.383634952
73,486818.652528817
74,653168.002090556
75,647135.820602938
76,710094.113486817
77,590880.572949829
78,587792.079201785
79,662610.709018035
80,558465.790311506
81,758849.013473419
82,677689.504985636
83,736008.036446939
84,777873.65024777
85,532871.601824567
86,165007.517270339
87,156215.990900431
88,162466.065163009
89,151400.395113105
90,149830.674486758
91,147206.967393958
92,165883.146195397
93,161921.695026578
94,161231.126252877
95,438948.748079599
96,324762.225275934
97,407559.481856454
98,463217.949917003
99,447406.639322508
100,246003.154493466
101,313629.612269172
102,353703.970571544
103,398610.211310607
104,490771.245714743
105,408247.13035382
106,381980.146954095
107,426484.241685154
108,441842.995387009
109,413730.336030701
110,391774.98000807
111,576219.74347918
112,439996.418725915
113,349161.380215538
114,362878.93545753
115,394851.902551474
116,447244.24424266
117,443739.847782632
118,610811.151358417
119,424651.643971692
120,461226.301727221
121,434332.803464515
122,506391.065349828
123,244125.464184553
124,428802.40163371
125,527849.210004932
126,368804.520648855
127,377324.815798732
128,515664.05920971
129,462134.357408309
130,424325.71978051
131,363938.800595272
132,499348.217651417
133,445706.417510222
134,466204.453546393
135,640551.199197517
136,463817.565163099
137,470377.705183015
138,484621.086438038
139,543691.774805112
140,633244.054613767
141,557307.383945236
142,540590.475559724
143,511003.62566477
144,518918.072032172
145,482774.703393189
146,668083.072536402
147,625514.251525191
148,589753.34787103
149,615240.004611301
150,565383.814789344
151,519980.491920197
152,616305.867598179
153,595777.431632059
154,685182.964060114
155,423401.125266601
156,441002.535838032
157,644434.606909039
158,848545.304214901
159,601929.029528775
160,620939.222239908
161,649607.427421976
162,606628.194712762
163,693678.989640844
164,700326.773659995
165,638617.419768248
166,737503.295801299
167,686231.564523228
168,811257.823679504
169,792963.356381886
170,654480.610346523
171,582589.893992923
172,157841.226809278
173,165051.398236294
174,519224.139082405
175,584191.17634559
