"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.01,5,0.05,0.6,1,0.8,1000,0.406178135280495,0.483548117303341,0.250686101073499,0.00958790666272598,0.016332350143898,0.00318706557576502
"7",0.01,5,0.05,0.6,2,0.8,1000,0.406161396940184,0.483592018315089,0.250655919857635,0.00960986328336992,0.0163552868215714,0.00321852244502027
"13",0.01,5,0.05,1,1,0.8,1000,0.406198286623416,0.483477160650325,0.250625845858479,0.0095890950188113,0.0162991035635463,0.00320669300656781
"19",0.01,5,0.05,1,2,0.8,1000,0.406177633568626,0.483530545838829,0.250612196907693,0.00957355180034311,0.0162676198607397,0.00318328076775286
"25",0.01,5,0.1,0.6,1,0.8,1000,0.406162509603501,0.483589782405674,0.250674238572,0.00959100430996804,0.0163066818185979,0.00320880110831713
"31",0.01,5,0.1,0.6,2,0.8,1000,0.406156247713813,0.483605460541083,0.250657157361423,0.00961240734999542,0.0163659647949491,0.00321568879115819
"37",0.01,5,0.1,1,1,0.8,1000,0.406231518525027,0.483390486580687,0.250644358706537,0.00960574146836748,0.0163201962162746,0.00321327373836147
"43",0.01,5,0.1,1,2,0.8,1000,0.406209861999579,0.483446138349276,0.25063525908307,0.00958293269479675,0.0163025274534404,0.00320074629963509
"49",0.01,10,0.05,0.6,1,0.8,1000,0.405404124839076,0.485467200627077,0.249427081085587,0.00946800193814987,0.0160752474924228,0.00327309117077006
"55",0.01,10,0.05,0.6,2,0.8,1000,0.405171929637501,0.486038163956511,0.249241837538628,0.00947997263814941,0.0161307119325401,0.00328176607728422
"61",0.01,10,0.05,1,1,0.8,1000,0.406994671732444,0.481562948305796,0.25074776646643,0.00941768223344599,0.0161534608201604,0.00331922668344259
"67",0.01,10,0.05,1,2,0.8,1000,0.406561514565187,0.482623319271094,0.250490796302037,0.00939466705899233,0.0160527608513765,0.00328823521663483
"73",0.01,10,0.1,0.6,1,0.8,1000,0.405322795520577,0.48566642324198,0.249401577519843,0.00945260461601051,0.0160732913732245,0.0032706603604992
"79",0.01,10,0.1,0.6,2,0.8,1000,0.405097103703885,0.486221828639168,0.249228980665356,0.00942636758529248,0.0160412132207542,0.00331037624950659
"85",0.01,10,0.1,1,1,0.8,1000,0.406907269805371,0.481776039203277,0.250676327447602,0.00943503327037925,0.0162255172430308,0.00334637202905124
"91",0.01,10,0.1,1,2,0.8,1000,0.406535897293215,0.482686500602344,0.250474770010803,0.00937803743095712,0.0160063431496954,0.00329964061090763
"2",0.01,5,0.05,0.6,1,0.8,2000,0.405080980458793,0.486228057938928,0.249177015338815,0.00956496625250672,0.0162920042841972,0.00317886559542404
"8",0.01,5,0.05,0.6,2,0.8,2000,0.405074557109375,0.486244227777103,0.249161044883338,0.00956448067386651,0.0162885018481632,0.00319009681461391
"14",0.01,5,0.05,1,1,0.8,2000,0.405231180103839,0.485839849733508,0.249268829108165,0.00954076757319818,0.0161961451135078,0.00321075005144498
"20",0.01,5,0.05,1,2,0.8,2000,0.405210467733053,0.485893986003411,0.249252381947027,0.00953075284348117,0.0161687375445934,0.00318617653085138
"26",0.01,5,0.1,0.6,1,0.8,2000,0.405060103440879,0.486280644027976,0.249171627977355,0.00957229257306556,0.0162659932233588,0.00319093769265649
"32",0.01,5,0.1,0.6,2,0.8,2000,0.405100530699094,0.486177586009203,0.249178276357349,0.00958298620655184,0.0162960620587539,0.00320296532778876
"38",0.01,5,0.1,1,1,0.8,2000,0.405241397472675,0.485813988003371,0.249266496212349,0.00956914204128406,0.0162621412333906,0.00321364053175075
