"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.01,6,0.05,0.6,3,0.8,1000,0.405222589943747,0.485956601816872,0.249621730707785,0.0116221931217583,0.0184095029439642,0.00404446017683473
"7",0.01,6,0.05,0.6,4,0.8,1000,0.405201963766718,0.486009648061991,0.249598304825646,0.0116055141310541,0.018335817728989,0.00402607077983343
"13",0.01,6,0.05,1,3,0.8,1000,0.405375455300466,0.485547292302795,0.249692083817781,0.0115728356086252,0.0182399449547935,0.00404347218902846
"19",0.01,6,0.05,1,4,0.8,1000,0.405357837125932,0.485592676162633,0.249689974978053,0.0115959353300316,0.0182953909784159,0.00404782032085765
"25",0.01,6,0.1,0.6,3,0.8,1000,0.405196512963344,0.486023029727157,0.249618534680491,0.0116166443784877,0.0183595648093546,0.00403345310877404
"31",0.01,6,0.1,0.6,4,0.8,1000,0.405177504200932,0.486070249509609,0.249582152543273,0.0116073886681784,0.0183622528685933,0.00403083953062815
"37",0.01,6,0.1,1,3,0.8,1000,0.405398863609865,0.485487540720113,0.249705186985613,0.0115495870576969,0.0181835287738431,0.00401737633928982
"43",0.01,6,0.1,1,4,0.8,1000,0.405350868226439,0.48561211487172,0.249680159299858,0.0115710441055794,0.0182314735783639,0.00402727187373548
"49",0.01,8,0.05,0.6,3,0.8,1000,0.404443732566455,0.487872593163113,0.248677417501718,0.0115911018475982,0.0182262811563308,0.00406044599080444
"55",0.01,8,0.05,0.6,4,0.8,1000,0.40439240937131,0.488002334909885,0.24867085414018,0.0116395204312867,0.0183571049769044,0.0040774489953176
"61",0.01,8,0.05,1,3,0.8,1000,0.405098239954848,0.486211086697745,0.249263337327984,0.0115207463109174,0.0180686330806257,0.00408555006939332
"67",0.01,8,0.05,1,4,0.8,1000,0.404976280233315,0.486517954563397,0.249202081824959,0.0115435873009779,0.0181366504786076,0.00409008310319061
"73",0.01,8,0.1,0.6,3,0.8,1000,0.404443450190619,0.487873226845423,0.248703497413092,0.0116165449333719,0.0183216284251096,0.00409517444514824
"79",0.01,8,0.1,0.6,4,0.8,1000,0.404411890210478,0.487953578679617,0.248684080921388,0.0116344755964218,0.0183959563945573,0.00409452783186937
"85",0.01,8,0.1,1,3,0.8,1000,0.405049906583966,0.486334770908743,0.249263334669084,0.0115230708688778,0.0180673334752764,0.00407210350254895
"91",0.01,8,0.1,1,4,0.8,1000,0.404982073044341,0.486504527264461,0.249206733011247,0.0115730013625748,0.018187990906036,0.00407579761760986
"2",0.01,6,0.05,0.6,3,0.8,2000,0.404681225392119,0.487264828374595,0.24879082452009,0.011579015221498,0.0182459520802281,0.00406493473495477
"8",0.01,6,0.05,0.6,4,0.8,2000,0.404681383312675,0.487264410610059,0.248794196866177,0.0115824734940663,0.0182284576189448,0.00406538545035345
"14",0.01,6,0.05,1,3,0.8,2000,0.405079440383358,0.486262668423789,0.249157448646563,0.0115326926650478,0.0181069812811178,0.00406841408946167
"20",0.01,6,0.05,1,4,0.8,2000,0.40506372028828,0.486301568245645,0.249143928673514,0.0115713723329706,0.0181989553188026,0.00408494959759131
"26",0.01,6,0.1,0.6,3,0.8,2000,0.404638473566925,0.487372361145814,0.248780676253792,0.011582598279692,0.0182222552536001,0.00408770162731916
"32",0.01,6,0.1,0.6,4,0.8,2000,0.404638282929877,0.487372654340432,0.24876115254751,0.0115777834244828,0.0182297946863535,0.00406663439255259
"38",0.01,6,0.1,1,3,0.8,2000,0.4050924257066,0.486230423594027,0.249161074089523,0.0115174298805711,0.0180835980637197,0.00406027023013788
"44",0.01,6,0.1,1,4,0.8,2000,0.405086045622021,0.486245713628489,0.249168406476866,0.0115607471661018,0.0181514591557147,0.00408309312824914
"50",0.01,8,0.05,0.6,3,0.8,2000,0.405431089666809,0.485487145496272,0.2494668568061,0.011524649607384,0.0180586310962924,0.00412632591195492
"56",0.01,8,0.05,0.6,4,0.8,2000,0.405317806491228,0.485761573518262,0.249411283136425,0.0116100273221357,0.0182749709125947,0.00415258452230632
"62",0.01,8,0.05,1,3,0.8,2000,0.406864282754192,0.481991129871273,0.250741188686046,0.011443515505693,0.0178437119497794,0.00412691282838749
"68",0.01,8,0.05,1,4,0.8,2000,0.406671832257639,0.482453839372919,0.250645378897174,0.0114750468934379,0.0179584298724916,0.0041589601792942
"74",0.01,8,0.1,0.6,3,0.8,2000,0.405372063620115,0.485628124554821,0.249452739478666,0.0115810245027689,0.0182051418755019,0.00418352419441352
"80",0.01,8,0.1,0.6,4,0.8,2000,0.405279578608345,0.48585453731241,0.249382479722048,0.01158618202666,0.018256148689554,0.00415725304384839
"86",0.01,8,0.1,1,3,0.8,2000,0.406788161286632,0.482175830665297,0.250681323011716,0.0114767539028919,0.0179368471784969,0.00414137521927082
"92",0.01,8,0.1,1,4,0.8,2000,0.40662966351704,0.482557064706014,0.250605575525287,0.0114972736720234,0.0179944786133525,0.00412142013288282
"3",0.01,6,0.05,0.6,3,0.8,3000,0.404985232180696,0.486533182740622,0.249063821416523,0.0115427212772794,0.0181473990955893,0.00408822405243014
"9",0.01,6,0.05,0.6,4,0.8,3000,0.404995913209803,0.486504727609191,0.249075566927358,0.0115414451463066,0.018130553512852,0.00408463418777428
"15",0.01,6,0.05,1,3,0.8,3000,0.405695807962041,0.484780583329813,0.24973494450577,0.0114859061719083,0.0179687220156075,0.00409386967551841
"21",0.01,6,0.05,1,4,0.8,3000,0.405666599907714,0.484850701550803,0.249717676152321,0.0115453856177503,0.0181352830252209,0.0041155771978744
"27",0.01,6,0.1,0.6,3,0.8,3000,0.404945760417835,0.486632183631398,0.249050518198189,0.0115470770325492,0.0181318054017461,0.00412350573486625
