"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.01,8,0.05,0.6,4,0.8,1000,0.404483143498451,0.487772627618488,0.24867359783856,0.0101003955132539,0.0169388412823973,0.00379166917566275
"7",0.01,8,0.05,0.6,5,0.8,1000,0.404434661021015,0.487894615327151,0.248630355593798,0.0100927836447665,0.016899292446847,0.0037827744098508
"13",0.01,8,0.05,0.6,6,0.8,1000,0.404459445200745,0.487830971868585,0.248634241833647,0.0101084897100152,0.0169493018975299,0.00377966173757056
"19",0.01,8,0.05,1,4,0.8,1000,0.405002771656714,0.486447725089219,0.249157989824187,0.010078849870269,0.0169616193611633,0.00379181349080922
"25",0.01,8,0.05,1,5,0.8,1000,0.404969101446116,0.486534469784539,0.249165575195135,0.0100713035405302,0.0168869420056574,0.00378567958514453
"31",0.01,8,0.05,1,6,0.8,1000,0.40490086588558,0.486704985543195,0.249089595091872,0.0100843826743766,0.0169064391381847,0.00379330513565884
"37",0.01,8,0.1,0.6,4,0.8,1000,0.404503256745096,0.487720705632981,0.248681568851777,0.0100702121382917,0.0167932473108104,0.00377062095153978
"43",0.01,8,0.1,0.6,5,0.8,1000,0.404426196999811,0.487917560628431,0.248656671927718,0.0101102504274062,0.0169437711329941,0.0037943253546172
"49",0.01,8,0.1,0.6,6,0.8,1000,0.4044288378668,0.487908410440179,0.248612042540074,0.0100983648896394,0.0168962116990381,0.00379261301523325
"55",0.01,8,0.1,1,4,0.8,1000,0.405042573104506,0.486349514454287,0.249203553592342,0.0100471357697801,0.0168339743803335,0.00378462622497302
"61",0.01,8,0.1,1,5,0.8,1000,0.404935430817024,0.486618234476063,0.249148647148736,0.0100732411584886,0.0168802292049924,0.003793862321253
"67",0.01,8,0.1,1,6,0.8,1000,0.404896656896973,0.48671616735168,0.249097483695941,0.0101026127207173,0.0169593718466853,0.00380672376184755
"2",0.01,8,0.05,0.6,4,0.8,2000,0.405430234071006,0.485472986053315,0.249424821259908,0.00999922267936518,0.0167404978125762,0.00381857618555066
"8",0.01,8,0.05,0.6,5,0.8,2000,0.405335352423802,0.485703454911952,0.249354078970599,0.00999026182723785,0.0167224675477127,0.00380972571140632
"14",0.01,8,0.05,0.6,6,0.8,2000,0.405300557271115,0.48578346435301,0.249338215571492,0.0100058784061328,0.0167484207303389,0.00381302031424705
"20",0.01,8,0.05,1,4,0.8,2000,0.406715383696044,0.482336887261019,0.250607281145708,0.00995541037490375,0.0166998551994092,0.00383535232084813
"26",0.01,8,0.05,1,5,0.8,2000,0.406571719566293,0.48267931958068,0.250521898595856,0.0100102832066385,0.0168061627329149,0.00384061731976978
"32",0.01,8,0.05,1,6,0.8,2000,0.406438431156373,0.482997357928466,0.250415095642131,0.00997630250905265,0.0167186810471259,0.0038201199535751
"38",0.01,8,0.1,0.6,4,0.8,2000,0.40538775435685,0.485576736363438,0.249399187776594,0.00997061233085441,0.016612174572549,0.0037782900199178
"44",0.01,8,0.1,0.6,5,0.8,2000,0.405293261114961,0.485806952715625,0.24934060558639,0.0100350320824957,0.0167890310100941,0.00383636003692577
"50",0.01,8,0.1,0.6,6,0.8,2000,0.405245248315925,0.485921572324795,0.249279600536129,0.0100306658857235,0.0167779348965431,0.00382983301378549
"56",0.01,8,0.1,1,4,0.8,2000,0.406717311048384,0.482328294249738,0.25060575756137,0.00991892103982763,0.0165670037442179,0.0038321295264696
"62",0.01,8,0.1,1,5,0.8,2000,0.406514383895658,0.48281652352581,0.250490038059812,0.00999728293463304,0.0167600224494221,0.00385898429026567
"68",0.01,8,0.1,1,6,0.8,2000,0.406398388902572,0.483096294461023,0.250396296226631,0.00998869935492771,0.0167173569520527,0.00382492803747448
"3",0.01,8,0.05,0.6,4,0.8,3000,0.40724450348225,0.481197349320122,0.251147435867952,0.00992952091895524,0.0166352266529862,0.00383343593711273
"9",0.01,8,0.05,0.6,5,0.8,3000,0.407081456952422,0.481579807290711,0.251060542318699,0.00992649268196117,0.0166429216364677,0.00384011363596444
"15",0.01,8,0.05,0.6,6,0.8,3000,0.406951850754905,0.481884831002208,0.250970506831548,0.00995654774821507,0.0166823865315678,0.00383460870994815
"21",0.01,8,0.05,1,4,0.8,3000,0.409262015228717,0.47640668228507,0.253001008633934,0.00987560231920312,0.0165707367107378,0.00387750341548289
"27",0.01,8,0.05,1,5,0.8,3000,0.408997316978723,0.477014903654165,0.252836469129737,0.00994522582778556,0.0167489873317955,0.00387020890216562
"33",0.01,8,0.05,1,6,0.8,3000,0.408800347572956,0.477472271527927,0.25270353885351,0.00990810721863094,0.016633370516204,0.00385697033049378
"39",0.01,8,0.1,0.6,4,0.8,3000,0.407119155750663,0.481493169154037,0.251059242853958,0.0099112828221046,0.0165391632320158,0.00380391451451971
"45",0.01,8,0.1,0.6,5,0.8,3000,0.406973259784297,0.481835296409127,0.250961078621712,0.0099165983722606,0.0165634311849632,0.0038352187713494
"51",0.01,8,0.1,0.6,6,0.8,3000,0.406868762667015,0.4820805693292,0.250893530668737,0.00996689346787431,0.0166847586553238,0.00386292176276967
"57",0.01,8,0.1,1,4,0.8,3000,0.409159433373703,0.476638780804639,0.252903631847001,0.00985115728463553,0.0165083658414708,0.00385463432750059
"63",0.01,8,0.1,1,5,0.8,3000,0.408869050435855,0.47731431383694,0.252739044211645,0.00992772026487712,0.0166702564228373,0.00387112849465495
"69",0.01,8,0.1,1,6,0.8,3000,0.40869099017672,0.477731495507368,0.252611580952012,0.00992482338163837,0.0166456338294685,0.00385060616233317
"4",0.01,8,0.05,0.6,4,0.8,4000,0.409348770352046,0.476346009055714,0.253177848893079,0.00987333194478654,0.0165838419798234,0.00385565736065159
"10",0.01,8,0.05,0.6,5,0.8,4000,0.409088971546868,0.476943323364858,0.253023475234013,0.00986334616561826,0.0165729775021232,0.00384434245658906
"16",0.01,8,0.05,0.6,6,0.8,4000,0.408890367463979,0.477403199574463,0.252909024433955,0.00990613422594964,0.0166482085521876,0.0038463946563197
"22",0.01,8,0.05,1,4,0.8,4000,0.411980755790291,0.470242938229213,0.255537846705922,0.00982399381961577,0.0165531568455635,0.00388534243263177
"28",0.01,8,0.05,1,5,0.8,4000,0.411623503717575,0.471040464424186,0.255338618758686,0.0098830883861951,0.0166725977015248,0.00388758345251319
"34",0.01,8,0.05,1,6,0.8,4000,0.411369544695409,0.471610663839041,0.255194768848507,0.00987087712837964,0.0166137190982971,0.00387629490989029
"40",0.01,8,0.1,0.6,4,0.8,4000,0.409101442470213,0.476917038225636,0.252964430377659,0.00983973541370101,0.0164512351618644,0.00380249188815129
"46",0.01,8,0.1,0.6,5,0.8,4000,0.408871223288703,0.477442255254864,0.252834366641639,0.00987243747154366,0.0165475311275381,0.00386027791178306
"52",0.01,8,0.1,0.6,6,0.8,4000,0.408718218565606,0.47779522792594,0.252722862755429,0.00991784400627155,0.0166463638011519,0.00387335373777219
"58",0.01,8,0.1,1,4,0.8,4000,0.411784582262222,0.470679024297251,0.255354280422792,0.00982720272568816,0.0165625398799529,0.00389225614732585
"64",0.01,8,0.1,1,5,0.8,4000,0.41139657490743,0.471554129236222,0.25513043814546,0.00986680659311449,0.0166151193124114,0.00389804204000313
"70",0.01,8,0.1,1,6,0.8,4000,0.41117002433903,0.472072367522622,0.255008544330458,0.00986661775486639,0.0165913885768509,0.00386317662898363
"5",0.01,8,0.05,0.6,4,0.8,5000,0.411540015556054,0.471400577094893,0.255268952917857,0.00982145800444588,0.0165370103869201,0.00386648445746592
"11",0.01,8,0.05,0.6,5,0.8,5000,0.411203975245279,0.472155272337317,0.255070261180775,0.00981096002248105,0.0165310934544756,0.00384546687800461
"17",0.01,8,0.05,0.6,6,0.8,5000,0.41095651853082,0.472716692865612,0.254928275269351,0.00986649918782392,0.016618375492705,0.00387377295994212
"23",0.01,8,0.05,1,4,0.8,5000,0.414679218670899,0.464273431346527,0.257993796809121,0.0097973868042785,0.0165648426255125,0.00391712516595968
"29",0.01,8,0.05,1,5,0.8,5000,0.414217001032362,0.465281884421439,0.257737354213107,0.00983403626927808,0.0166572367753783,0.00390821964535715
"35",0.01,8,0.05,1,6,0.8,5000,0.413962230055282,0.465840547854606,0.257646036978199,0.00981185051486501,0.0165637865118094,0.00388058924941672
"41",0.01,8,0.1,0.6,4,0.8,5000,0.411165418071738,0.472242716358702,0.254914531746029,0.0097764862544704,0.0163807816071262,0.00379347960670381
"47",0.01,8,0.1,0.6,5,0.8,5000,0.410832166988679,0.472995467839328,0.254749322201012,0.0098374199996856,0.0165425868469481,0.00387468517102668
"53",0.01,8,0.1,0.6,6,0.8,5000,0.410658445939972,0.473382206990395,0.254644116720618,0.00987282850770097,0.0166163892100412,0.00388139950491312
"59",0.01,8,0.1,1,4,0.8,5000,0.414334329148122,0.465030374760436,0.257672935133521,0.00979039096312172,0.0165607844849286,0.0038927700802235
"65",0.01,8,0.1,1,5,0.8,5000,0.413879923020836,0.466029910492701,0.257441413579276,0.00983498863688594,0.0166277259950407,0.00392363729476029
"71",0.01,8,0.1,1,6,0.8,5000,0.413621906551842,0.466608042184225,0.257331641386085,0.00982259662289187,0.0165675420222744,0.00388435836097649
