INDEX,PRICE
1,379954
2,379954
3,379954
4,379954
5,379954
6,379954
7,379954
8,379954
9,379954
10,379954
11,379954
12,379954
13,379954
14,379954
15,379954
16,379954
17,379954
18,379954
19,379954
20,379954
21,379954
22,379954
23,379954
24,379954
25,379954
26,379954
27,379954
28,379954
29,379954
30,379954
31,379954
32,379954
33,379954
34,379954
35,379954
36,379954
37,379954
38,379954
39,379954
40,379954
41,379954
42,379954
43,379954
44,379954
45,379954
46,379954
47,379954
48,379954
49,379954
50,379954
51,379954
52,379954
53,379954
54,379954
55,379954
56,379954
57,379954
58,379954
59,379954
60,379954
61,379954
62,379954
63,379954
64,379954
65,379954
66,379954
67,379954
68,379954
69,379954
70,379954
71,379954
72,379954
73,379954
74,379954
75,379954
76,379954
77,379954
78,379954
79,379954
80,379954
81,379954
82,379954
83,379954
84,379954
85,379954
86,379954
87,379954
88,379954
89,379954
90,379954
91,379954
92,379954
93,379954
94,379954
95,379954
96,379954
97,379954
98,379954
99,379954
100,379954
101,379954
102,379954
103,379954
104,379954
105,379954
106,379954
107,379954
108,379954
109,379954
110,379954
111,379954
112,379954
113,379954
114,379954
115,379954
116,379954
117,379954
118,379954
119,379954
120,379954
121,379954
122,379954
123,379954
124,379954
125,379954
126,379954
127,379954
128,379954
129,379954
130,379954
131,379954
132,379954
133,379954
134,379954
135,379954
136,379954
137,379954
138,379954
139,379954
140,379954
141,379954
142,379954
143,379954
144,379954
145,379954
146,379954
147,379954
148,379954
149,379954
150,379954
151,379954
152,379954
153,379954
154,379954
155,379954
156,379954
157,379954
158,379954
159,379954
160,379954
161,379954
162,379954
163,379954
164,379954
165,379954
166,379954
167,379954
168,379954
169,379954
170,379954
171,379954
172,379954
173,379954
174,379954
175,379954
176,379954
177,379954
178,379954
179,379954
180,379954
181,379954
182,379954
183,379954
184,379954
185,379954
186,379954
187,379954
188,379954
189,379954
190,379954
191,379954
192,379954
193,379954
194,379954
195,379954
196,379954
197,379954
198,379954
199,379954
200,379954
201,379954
202,379954
203,379954
204,379954
205,379954
206,379954
207,379954
208,379954
209,379954
210,379954
211,379954
212,379954
213,379954
214,379954
215,379954
216,379954
217,379954
218,379954
219,379954
220,379954
221,379954
222,379954
223,379954
224,379954
225,379954
226,379954
227,379954
228,379954
229,379954
230,379954
231,379954
232,379954
233,379954
234,379954
235,379954
236,379954
237,379954
238,379954
239,379954
240,379954
241,379954
242,379954
243,379954
244,379954
245,379954
246,379954
247,379954
248,379954
249,379954
250,379954
251,379954
252,379954
253,379954
254,379954
255,379954
256,379954
257,379954
258,379954
259,379954
260,379954
261,379954
262,379954
263,379954
264,379954
265,379954
266,379954
267,379954
268,379954
269,379954
270,379954
271,379954
272,379954
273,379954
274,379954
275,379954
276,379954
277,379954
278,379954
279,379954
280,379954
281,379954
282,379954
283,379954
284,379954
285,379954
286,379954
287,379954
288,379954
289,379954
290,379954
291,379954
292,379954
293,379954
294,379954
295,379954
296,379954
297,379954
298,379954
299,379954
300,379954
301,379954
302,379954
303,379954
304,379954
305,379954
306,379954
307,379954
308,379954
309,379954
310,379954
311,379954
312,379954
313,379954
314,379954
315,379954
316,379954
317,379954
318,379954
319,379954
320,379954
321,379954
322,379954
323,379954
324,379954
325,379954
326,379954
327,379954
328,379954
329,379954
330,379954
331,379954
332,379954
333,379954
334,379954
335,379954
336,379954
337,379954
338,379954
339,379954
340,379954
341,379954
342,379954
343,379954
344,379954
345,379954
346,379954
347,379954
348,379954
349,379954
350,379954
351,379954
352,379954
353,379954
354,379954
355,379954
356,379954
357,379954
358,379954
359,379954
360,379954
361,379954
362,379954
363,379954
364,379954
365,379954
366,379954
367,379954
368,379954
369,379954
370,379954
371,379954
372,379954
373,379954
374,379954
375,379954
376,379954
377,379954
378,379954
379,379954
380,379954
381,379954
382,379954
383,379954
384,379954
385,379954
386,379954
387,379954
388,379954
389,379954
390,379954
391,379954
392,379954
393,379954
394,379954
395,379954
396,379954
397,379954
398,379954
399,379954
400,379954
401,379954
402,379954
403,379954
404,379954
405,379954
406,379954
407,379954
408,379954
409,379954
410,379954
411,379954
412,379954
413,379954
414,379954
415,379954
416,379954
417,379954
418,379954
419,379954
420,379954
421,379954
422,379954
423,379954
424,379954
425,379954
426,379954
427,379954
428,379954
429,379954
430,379954
431,379954
432,379954
433,379954
434,379954
435,379954
436,379954
437,379954
438,379954
439,379954
440,379954
441,379954
442,379954
443,379954
444,379954
445,379954
446,379954
447,379954
448,379954
449,379954
450,379954
451,379954
452,379954
453,379954
454,379954
455,379954
456,379954
457,379954
458,379954
459,379954
460,379954
461,379954
462,379954
463,379954
464,379954
465,379954
466,379954
467,379954
468,379954
469,379954
470,379954
471,379954
472,379954
473,379954
474,379954
475,379954
476,379954
477,379954
478,379954
479,379954
480,379954
481,379954
482,379954
483,379954
484,379954
485,379954
486,379954
487,379954
488,379954
489,379954
490,379954
491,379954
492,379954
493,379954
494,379954
495,379954
496,379954
497,379954
498,379954
499,379954
500,379954
501,379954
502,379954
503,379954
504,379954
505,379954
506,379954
507,379954
508,379954
509,379954
510,379954
511,379954
512,379954
513,379954
514,379954
515,379954
516,379954
517,379954
518,379954
519,379954
520,379954
521,379954
522,379954
523,379954
524,379954
525,379954
526,379954
527,379954
528,379954
529,379954
530,379954
531,379954
532,379954
533,379954
534,379954
535,379954
536,379954
537,379954
538,379954
539,379954
540,379954
541,379954
542,379954
543,379954
544,379954
545,379954
546,379954
547,379954
548,379954
549,379954
550,379954
551,379954
552,379954
553,379954
554,379954
555,379954
556,379954
557,379954
558,379954
559,379954
560,379954
561,379954
562,379954
563,379954
564,379954
565,379954
566,379954
567,379954
568,379954
569,379954
570,379954
571,379954
572,379954
573,379954
574,379954
575,379954
576,379954
577,379954
578,379954
579,379954
580,379954
581,379954
582,379954
583,379954
584,379954
585,379954
586,379954
587,379954
588,379954
589,379954
590,379954
591,379954
592,379954
593,379954
594,379954
595,379954
596,379954
597,379954
598,379954
599,379954
600,379954
601,379954
602,379954
603,379954
604,379954
605,379954
606,379954
607,379954
608,379954
609,379954
610,379954
611,379954
612,379954
613,379954
614,379954
615,379954
616,379954
617,379954
618,379954
619,379954
620,379954
621,379954
622,379954
623,379954
624,379954
625,379954
626,379954
627,379954
628,379954
629,379954
630,379954
631,379954
632,379954
