"","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","SALE.PRICE"
"1",11694,2,0,7.67368812926773,7.89580837708318,2002,12.6760762747759
"2",11105,3,0,7.72665366484764,8.20903626577507,2002,13.5324909327267
"3",11375,2,0,8.01002752848173,7.73236922228439,1935,13.5110213671961
"4",11357,3,0,8.7212762399917,8.12444685571585,1960,13.2176735572087
"5",11361,2,0,7.91388671485608,7.650168700845,2003,13.1711535415738
"6",11373,3,0,7.60140233458373,8.0774471493312,1971,13.1221633574017
"7",11379,2,0,7.88269220628903,7.59438124255182,1920,13.0604879736862
"8",11417,2,0,7.78364059622125,7.78364059622125,1960,13.0170028617465
"9",11378,2,0,7.7066129139642,7.51588908521513,1920,12.9491997583951
"10",11379,2,0,7.60589000105312,7.39079852173568,1920,12.9480099902596
"11",11366,1,0,7.99395754757357,7.03966034986208,1926,12.8992198260901
"12",11366,2,0,7.74109909003537,7.7007477945118,1965,12.8992198260901
"13",11103,3,0,7.82444593087762,8.17103418920548,1963,12.8992198260901
"14",11355,1,0,8.23244015847034,7.70571282389443,1925,12.8479265317026
"15",11426,1,0,8.52734152246805,7.14991683613211,1945,12.8346813049525
"17",11421,2,0,7.60140233458373,7.24064969425547,1901,12.7512996960135
"18",11433,2,0,8.02812905943176,7.87891291229713,1999,12.6807528226598
"19",11369,1,0,7.55013534248843,7.26473017792987,1945,12.6443275764613
"22",11435,1,0,8.38958706681109,6.98564181763921,1930,12.5425448821514
"23",11418,2,0,7.82444593087762,7.3375877435386,1920,12.5357396360444
"24",11418,1,0,7.44483327389219,7.10578612948127,1915,12.5162742394118
"25",11426,1,0,8.29429960885724,7.05098944706805,1945,12.4799093111599
"26",11421,1,0,7.49776170062257,7.20414929203594,1920,12.3842188309136
"27",11692,2,0,7.71912984090673,7.69484807238461,1940,12.3758154201173
"28",11420,1,0,7.60140233458373,6.81454289725996,1920,12.2060726455302
"29",11413,2,0,8.29429960885724,7.04315991598834,1920,12.1281111040605
"31",11357,0,0,0,0,1951,12.0435537160324
"32",11436,1,0,8.00670084544037,6.76734312526539,1930,11.986516402126
"33",11692,1,0,8.00670084544037,7.26473017792987,1960,11.982929094216
"34",11364,0,0,0,0,1949,11.9049675527463
"35",11434,1,0,7.60140233458373,6.7990558620588,1920,11.8844890214027
"37",11364,1,0,8.19007704971905,7.65728279297819,1935,11.7117763237154
"38",11435,1,0,7.56320059235807,7.18614430452233,1920,11.6952470217642
"39",11105,3,0,7.89878235697031,7.86365126544865,1930,11.5129254649702
"40",11375,1,0,8.92279162396964,7.99328232810159,1925,13.7798833803211
"41",11105,3,0,7.72223474470961,8.20903626577507,2002,13.5591591798089
"42",11373,2,1,7.60140233458373,8.18896686364888,1985,13.5410737122625
"43",11416,3,0,7.9755646584952,8.05927622330565,2002,13.4405538011332
"44",11103,6,0,7.89207842124812,8.41205487329293,1929,13.4254265518944
"45",11365,2,0,8.69968140098951,7.76004068088038,1930,13.389026082632
"46",11432,1,0,8.8538082749772,8.16194579946869,1930,13.3293775467887
"47",11375,1,0,7.44483327389219,7.16780918431644,1935,13.2621253197795
"48",11366,1,0,8.29429960885724,7.21890970761906,1937,13.2158537204917
"49",11414,1,0,8.29429960885724,7.64683139143048,1965,13.2085410736454
"50",11106,2,0,7.50328963067508,7.60837447438078,1940,13.1993244185405
"51",11366,1,0,8.29429960885724,7.78197323443438,1938,13.1900220258781
"52",11418,1,0,8.27333659850449,7.61233683716775,1915,13.1203613747337
"53",11375,1,0,7.13886699994552,7.25629723969068,1935,13.1203613747337
"54",11364,1,0,8.29429960885724,7.04315991598834,1950,13.1021606700868
"55",11379,2,0,8.16080392095467,7.50714107972761,1935,13.0919041699196
"57",11366,1,0,8.29429960885724,7.27586460054653,1940,13.0389817684653
"58",11104,1,0,7.46336304552002,7.26473017792987,1925,13.0389817684653
"59",11104,1,0,7.46336304552002,7.26473017792987,1925,13.0389817684653
"60",11416,2,0,8.01002752848173,7.61233683716775,1910,13.0280526979331
"61",11354,2,0,7.90137735379262,7.50052948539529,1901,13.0170028617465
"62",11369,3,0,7.60140233458373,8.08363720314155,1920,12.9831013100708
"63",11385,4,0,7.82444593087762,8.08671792030391,1930,12.9360337992128
"64",11378,3,0,7.60140233458373,7.77106708606541,1920,12.8992198260901
"65",11434,2,0,7.92226105835325,7.63143166457691,2001,12.8609986132699
"66",11365,2,0,7.32712329225929,7.3004728142678,1950,12.8346813049525
"67",11385,2,0,7.60489448081162,8.10198073185319,1910,12.8212582846204
"68",11378,2,0,7.86365126544865,7.29776828253138,1920,12.7512996960135
"69",11432,2,0,7.55013534248843,7.66340766489348,1935,12.7512996960135
"70",11355,1,0,7.49609734517596,7.11069612297883,1950,12.7425660160447
"71",11104,1,0,7.49609734517596,7.13966033596492,1950,12.7337553863626
"73",11423,2,0,7.02908756414966,7.20414929203594,1940,12.7218858108072
"74",11435,2,0,7.80098207125774,7.14282740116162,1920,12.7158977689626
"75",11428,1,0,7.86365126544865,7.02197642307216,1925,12.6915804613119
"76",11694,2,0,8.92279162396964,7.89580837708318,2002,12.594730635322
"77",11420,1,0,7.82444593087762,7.14282740116162,1920,12.5776362019627
"78",11416,1,0,7.60140233458373,7.39449310721904,1910,12.5549850386787
"79",11428,2,0,8.07121853996986,7.90137735379262,1920,12.5425448821514
"80",11385,1,0,7.49609734517596,7.22183582528845,1945,12.5425448821514
"82",11436,2,0,8.00670084544037,7.37838371299671,1930,12.502466658584
"83",11422,1,0,7.88908440703551,6.99301512293296,1950,12.4466631104481
"84",11436,1,0,7.60140233458373,7.02197642307216,1930,12.3722648203942
"85",11420,1,0,7.74109909003537,6.76734312526539,1920,12.2783933071098
